battery_mv,percentage,prediction
4091,982,972
4061,979,970
4046,976,968
4035,973,966
4025,970,964
4017,967,962
4011,964,960
4004,961,957
3999,959,955
3994,956,952
3989,953,950
3985,950,947
3981,947,945
3978,944,943
3975,941,940
3971,938,936
3968,935,933
3965,932,930
3962,930,927
3960,927,925
3958,924,921
3955,921,918
3953,918,913
3949,915,911
3949,912,909
3947,909,905
3945,906,901
3943,903,898
3941,900,895
3940,898,892
3938,895,889
3937,892,886
3936,889,881
3933,886,877
3932,883,875
3931,880,872
3930,877,870
3929,874,867
3928,871,864
3927,868,861
3925,866,857
3924,863,855
3924,860,852
3922,857,847
3921,854,845
3920,851,842
3919,848,839
3918,845,837
3918,842,835
3917,839,831
3916,836,828
3915,834,826
3914,831,821
3913,828,820
3913,825,818
3912,822,814
3911,819,810
3910,816,808
3909,813,805
3909,810,803
3908,807,799
3907,805,796
3906,802,794
3906,799,792
3905,796,788
3904,793,786
3904,790,784
3903,787,780
3902,784,778
3902,781,775
3901,778,771
3900,775,770
3900,773,767
3899,770,766
3899,767,763
3898,764,759
3897,761,757
3897,758,755
3896,755,745
3893,752,740
3893,749,737
3892,746,735
3892,744,733
3891,741,731
3891,738,728
3890,735,727
3890,732,724
3889,729,722
3889,726,719
3888,723,718
3888,720,715
3887,717,710
3886,714,709
3886,712,706
3885,709,704
3885,706,701
3884,703,699
3884,700,695
3882,697,690
3882,694,689
3881,691,686
3881,688,683
3880,685,681
3880,683,678
3879,680,677
3879,677,674
3878,674,670
3877,671,668
3877,668,665
3876,665,661
3875,662,659
3875,659,656
3874,656,654
3874,653,651
3873,651,648
3872,648,645
3872,645,642
3871,642,641
3871,639,638
3870,636,635
3869,633,632
3869,630,629
3868,627,625
3867,624,623
3867,621,621
3866,619,616
3865,616,615
3865,613,612
3864,610,608
3863,607,605
3862,604,602
3862,601,600
3861,598,596
3860,595,592
3859,592,590
3859,590,587
3858,587,584
3857,584,580
3856,581,578
3856,578,576
3855,575,572
3854,572,568
3853,569,565
3852,566,563
3852,563,561
3851,560,557
3850,557,553
3849,555,550
3848,552,546
3847,549,543
3846,546,539
3845,543,537
3844,540,533
3843,537,531
3843,534,530
3842,531,526
3841,528,523
3840,526,520
3839,523,517
3838,520,514
3837,517,511
3836,514,508
3835,511,505
3834,508,502
3833,505,499
3832,502,496
3831,499,493
3830,497,491
3829,494,488
3828,491,484
3826,488,480
3825,485,477
3824,482,475
3823,479,472
3822,476,470
3821,473,468
3821,470,466
3819,467,463
3819,465,461
3817,462,458
3816,459,455
3815,456,453
3814,453,450
3813,450,447
3811,447,444
3810,444,441
3809,441,439
3808,438,437
3807,435,434
3806,433,431
3804,430,428
3803,427,426
3802,424,423
3801,421,421
3800,418,418
3798,415,415
3797,412,413
3796,409,410
3795,406,408
3794,404,405
3792,401,402
3791,398,400
3790,395,397
3789,392,395
3788,389,392
3786,386,389
3785,383,387
3784,380,384
3783,377,382
3782,374,379
3780,372,376
3779,369,373
3778,366,370
3776,363,367
3775,360,365
3774,357,362
3773,354,359
3771,351,356
3770,348,353
3769,345,350
3767,343,347
3766,340,344
3765,337,341
3763,334,337
3762,331,335
3761,328,332
3759,325,328
3758,322,325
3756,319,321
3755,316,318
3753,313,314
3752,311,312
3751,308,309
3750,305,306
3748,302,302
3747,299,300
3746,296,296
3744,293,293
3743,290,290
3742,287,288
3741,284,284
3739,281,280
3738,279,278
3737,276,275
3735,273,271
3734,270,268
3733,267,266
3732,264,264
3731,261,260
3729,258,256
3728,255,254
3727,252,252
3726,250,248
3724,247,244
3723,244,241
3721,241,236
3720,238,235
3719,235,231
3717,232,227
3716,229,225
3715,226,221
3713,223,217
3712,220,215
3711,218,212
3709,215,208
3708,212,204
3706,209,201
3705,206,197
3703,203,193
3702,200,192
3701,197,189
3700,194,187
3699,191,183
3697,188,186
3681,186,152
3695,183,176
3694,180,173
3693,177,171
3692,174,169
3691,171,167
3690,168,165
3689,165,161
3687,162,157
3686,159,155
3685,156,153
3684,154,151
3683,151,148
3682,148,146
3681,145,145
3680,142,143
3679,139,141
3678,136,139
3677,133,136
3675,130,132
3674,127,131
3673,125,128
3672,122,127
3671,119,124
3669,116,120
3668,113,118
3667,110,117
3666,107,114
3664,104,111
3663,101,110
3662,98,107
3660,95,105
3659,93,101
3657,90,98
3655,87,95
3654,84,93
3652,81,90
3650,78,86
3648,75,84
3646,72,80
3643,69,77
3641,66,73
3638,63,68
3635,60,64
3631,58,61
3627,55,54
3623,52,51
3620,49,48
3616,46,43
3611,43,39
3607,40,34
3602,37,30
3597,34,28
3592,32,24
3585,29,20
3580,26,19
3573,23,14
3567,20,13
3561,17,10
3554,14,10
3548,11,10
3541,8,8
3533,5,9
3525,2,10
3516,0,11
