battery_mv,percentage,prediction
3841,657,665
3809,568,555
3694,217,207
3726,307,304
3656,136,155
3861,743,760
3603,27,26
3874,828,822
3857,723,739
3600,23,22
3708,303,294
3645,58,78
3899,929,917
3596,19,17
3867,789,790
3668,116,145
3795,669,604
3879,856,842
3742,354,378
3652,120,143
3880,863,849
3894,918,903
3807,544,541
3746,412,418
3850,688,703
3686,186,198
3808,548,545
3882,871,856
3948,992,1007
3733,373,381
3855,715,728
3867,785,789
3608,31,32
3874,824,820
3889,898,882
3821,583,582
3762,408,430
3703,291,294
3877,840,832
3792,498,489
3892,906,893
3794,501,494
3647,105,120
3637,46,62
3644,93,109
3672,128,143
3772,435,454
3688,194,202
3850,696,708
3819,579,570
3870,801,802
